shape_variant_id,version_id,shape_id,trip_headsign,is_main,note
104001,100511,M162,Kálvária tér,0,
104002,100512,M160,Kálvin tér M,0,
104003,100519,X767,"Gödöllő, Szabadság tér H",0,
104004,100519,X771,"Gödöllő, Szabadság tér H",0,
104005,100520,X769,Örs vezér tere M+H,0,
104006,100529,L698,Dunaharaszti külső,0,
104007,100547,N562,Örs vezér tere M+H,0,
104008,100548,O321,Bosnyák tér,0,
104009,100548,Q564,Kelenföld vasútállomás,0,
104010,100548,Q566,Kelenföld vasútállomás,0,
104011,100549,Q590,Cinkotai autóbuszgarázs,0,
104012,100549,Q827,Cinkotai autóbuszgarázs,0,
104013,100550,Q591,Móricz Zsigmond körtér,0,
104014,100550,Q826,Astoria M,0,
104015,100553,S012,Dél-pesti autóbuszgarázs,0,
104016,100553,S013,Határ út M,0,
104017,100553,T281,Dél-pesti autóbuszgarázs,0,
104018,100554,Q866,Újpest-Központ M,0,
104019,100554,S125,"Káposztásmegyer, Mogyoródi-patak",0,
104020,100554,T282,"Káposztásmegyer, Mogyoródi-patak",0,
104021,100555,Q875,Újpest-Központ M,0,
104022,100556,Q876,Határ út M,0,
104023,100561,A148,"Budakeszi, Dózsa György tér",0,
104024,100563,S050,Flórián tér,0,
104025,100564,S049,Békásmegyer H,0,
104026,100571,C120,Bécsi út (Vörösvári út),0,
104027,100571,C122,Bécsi út (Vörösvári út),0,
104028,100582,Q889,Pestszentimre vasútállomás,0,
104029,100582,Q892,Határ út M,0,
104030,100582,Q893,"Pestszentlőrinc, Béke tér",0,
104031,100582,Q894,Pestszentimre vasútállomás,0,
104032,100583,Q890,"Rákospalota, Székely Elek út",0,
104033,100583,Q896,Újpest-Központ M,0,
104034,100584,Q882,"Rákospalota, Kossuth utca",0,
104035,100584,Q884,"Rákospalota, Kossuth utca",0,
104036,100585,Q372,"Pécel, Kun József utca",0,
104037,100586,Q754,Hűvösvölgy,0,
104038,100586,T272,Hűvösvölgy,0,
104039,100599,Q567,"Nagytétény, ipartelep",0,
104040,100599,Q568,"Nagytétény, ipartelep",0,
104041,100599,Q569,Móricz Zsigmond körtér,0,
104042,100600,K212,"Újpalota, Szentmihályi út",0,
104043,100600,K214,"Újpalota, Szentmihályi út",0,
104044,100600,K215,Keleti pályaudvar M,0,
104045,100601,S029,"Csepel, Csillagtelep",0,
104046,100601,S030,"Csepel, Szent Imre tér",0,
104047,100602,Q604,"Újpalota, Nyírpalota út",0,
104048,100602,S031,"Újpalota, Nyírpalota út",0,
104049,100603,S032,"Csepel, Csillagtelep",0,
104050,100603,S034,"Csepel, Szent Imre tér",0,
104051,100604,S033,Deák Ferenc tér M,0,
104052,100604,T285,Deák Ferenc tér M,0,
104053,100608,T271,Normafa,0,
104054,100609,Q607,Gödöllő H,0,
104055,100610,Q608,Cinkotai autóbuszgarázs,0,
104056,101358,X447,Kőpor utca [11],0,
104057,101411,H088,Nyugati pályaudvar M,0,
104058,101412,H089,Széll Kálmán tér M,0,
104059,101420,I014,"Zugliget, Libegő",0,
104060,101421,I016,Nyugati pályaudvar M,0,
104061,101421,S454,Budagyöngye,0,
104062,101428,6831,Auchan Liget,0,
104063,101451,G188,"Ganztelep, Mednyánszky utca",0,
104064,101462,N882,Új köztemető (Kozma utca),0,
104065,101465,R505,Sörgyár,0,
104066,101465,R508,Sörgyár,0,
104067,101466,R507,Blaha Lujza tér M,0,
104068,101472,A155,"Kispest, Kossuth tér",0,
104069,101472,A257,Kőbányai garázs,0,
104070,101473,A156,Deák Ferenc tér M,0,
104071,101473,A256,Deák Ferenc tér M,0,
104072,101473,Q741,Orczy tér,0,
104073,101486,X133,Budapesti út,0,
104074,101486,G140,Budapesti út,1,
104075,101486,H963,Centenáriumi ltp.(Margit utca),0,
104076,101487,T413,"Városközpont, Posta",1,
104077,101487,T414,Cinkotai autóbuszgarázs,0,
104078,101487,L996,"Városközpont, Posta",0,
104079,101488,M761,Határ út M,0,
104080,101488,M763,Határ út M,1,
104081,101488,P923,"Soroksár, központi raktárak",0,
104082,101489,U162,Lehel tér M,1,
104083,101489,U163,Boráros tér H,0,
104084,101489,L734,Boráros tér H,0,
104085,101490,R282,Békásmegyer H,0,
104086,101490,R283,Békásmegyer H,1,
104087,101490,G396,Békásmegyer H,0,
104088,101490,G938,Óbuda vasútállomás,0,
104089,101490,I366,Békásmegyer H,0,
104090,101491,R281,Batthyány tér M+H,0,
104091,101491,R287,Batthyány tér M+H,0,
104092,101491,R279,Batthyány tér M+H,0,
104093,101491,R284,Batthyány tér M+H,1,
104094,101491,G397,Batthyány tér M+H,0,
104095,101491,G937,Batthyány tér M+H,0,
104096,101491,I367,Batthyány tér M+H,0,
104097,101492,T866,Kőbánya alsó vasútállomás,0,
104098,101492,M021,"Rákoskeresztúr, vkp. (metró felé)",1,
104099,101492,V804,Kőbánya alsó vasútállomás,0,
104100,101492,M017,Kőbánya alsó vasútállomás,0,
104101,101493,M026,"Pécel, Kun József utca",1,
104102,101493,M031,"Pécel, Kun József utca",0,
104103,101494,M027,Örs vezér tere M+H,1,
104104,101494,M030,"Rákoskeresztúr, vkp. (metró felé)",0,
104105,101495,E182,"Ganztelep, Mednyánszky utca",0,
104106,101495,X427,"Ganztelep, Mednyánszky utca",1,
104107,101496,N967,Kőbánya-Kispest M,1,
104108,101496,X286,"Pestszentlőrinc, Béke tér",0,
104109,101497,O761,Kele utca,1,
104110,101497,V369,Tövishát utca,0,
104111,101497,7504,Goroszló utca,0,
104112,101497,J088,Goroszló utca,0,
104113,101498,O762,Határ út M,1,
104114,101498,V370,Határ út M,0,
104115,101498,J089,Határ út M,0,
104116,101499,U218,Békásmegyer H,1,
104117,101499,U220,Békásmegyer H,0,
104118,101499,S066,Békásmegyer H,0,
104119,101500,X314,Virágosnyereg út,0,
104120,101500,X308,Virágosnyereg út,1,
104121,101500,G394,Kocsis Sándor út,0,
104122,101500,I368,Kocsis Sándor út,0,
104123,101501,R290,Batthyány tér M+H,0,
104124,101501,R292,Batthyány tér M+H,1,
104125,101501,X313,Kocsis Sándor út,0,
104126,101501,G395,Batthyány tér M+H,0,
104127,101501,I369,Batthyány tér M+H,0,
104128,101502,M099,"Rákoskeresztúr, vkp. (metró felé)",1,
