service_id,date,exception_type
C71611AHPLL-0011,20250526,1
C71611AHPLL-0011,20250527,1
C71611AHPLL-0011,20250528,1
C71611AHPLL-0011,20250529,1
C71611AHPLL-0011,20250530,1
C71611AHPLL-0011,20250602,1
C71611AHPLL-0011,20250603,1
C71611AHPLL-0011,20250604,1
C71611AHPLL-0011,20250605,1
C71611AHPLL-0011,20250606,1
C71611AHPLL-0011,20250610,1
C71611AHPLL-0011,20250611,1
C71611AHPLL-0011,20250612,1
C71611AHPLL-0011,20250613,1
C71611AHPLL-0011,20250616,1
C71611AHPLL-0011,20250617,1
C71611AHPLL-0011,20250618,1
C71611AHPLL-0011,20250619,1
C71611AHPLL-0011,20250620,1
C71612K1HPLL-0011,20250517,1
C71612K1HPLL-0011,20250623,1
C71612K1HPLL-0011,20250624,1
C71612K1HPLL-0011,20250625,1
C71612K1HPLL-0011,20250626,1
C71612K1HPLL-0011,20250627,1
C71612K1HPLL-0011,20250630,1
C71612K1HPLL-0011,20250701,1
C71613ASZLL-0011,20250524,1
C71613ASZLL-0011,20250531,1
C71613ASZLL-0011,20250607,1
C71613ASZLL-0011,20250614,1
C71613ASZLL-0011,20250621,1
C71613ASZLL-0011,20250628,1
C71614AVVLL-0011,20250518,1
C71614AVVLL-0011,20250525,1
C71614AVVLL-0011,20250601,1
C71614AVVLL-0011,20250608,1
C71614AVVLL-0011,20250609,1
C71614AVVLL-0011,20250615,1
C71614AVVLL-0011,20250622,1
C71614AVVLL-0011,20250629,1
C71940K1HPCsZ-051,20250517,1
C71940K1HPCsZ-051,20250623,1
C71940K1HPCsZ-051,20250624,1
C71940K1HPCsZ-051,20250625,1
C71940K1HPCsZ-051,20250626,1
C71940K1HPCsZ-051,20250627,1
C71940K1HPCsZ-051,20250630,1
C71940K1HPCsZ-051,20250701,1
C72152AVVKYM-011,20250518,1
C72152AVVKYM-011,20250525,1
C72153ASZKYM-011,20250524,1
C72153ASZKYM-011,20250531,1
C72164AVVNR-0011,20250518,1
C72164AVVNR-0011,20250525,1
C72164AVVNR-0011,20250601,1
C72164AVVNR-0011,20250608,1
C72164AVVNR-0011,20250609,1
C72164AVVNR-0011,20250615,1
C72164AVVNR-0011,20250622,1
C72164AVVNR-0011,20250629,1
C72192ASZNR-0011,20250524,1
C72192ASZNR-0011,20250531,1
C72192ASZNR-0011,20250607,1
C72192ASZNR-0011,20250614,1
C72192ASZNR-0011,20250621,1
C72192ASZNR-0011,20250628,1
C72451AHCSzN-061,20250519,1
C72451AHCSzN-061,20250520,1
C72451AHCSzN-061,20250521,1
C72451AHCSzN-061,20250522,1
C72451AHCSzN-061,20250526,1
C72451AHCSzN-061,20250527,1
C72451AHCSzN-061,20250528,1
C72451AHCSzN-061,20250529,1
C72451AHCSzN-061,20250602,1
C72451AHCSzN-061,20250603,1
C72451AHCSzN-061,20250604,1
C72451AHCSzN-061,20250605,1
C72451AHCSzN-061,20250610,1
C72451AHCSzN-061,20250611,1
